term_id,L,S,term_upper_id,Lu,transition_id,J,Jʹ,K,Q,Ju,Jʹu,Ku,Qu,Kr,Qr,coefficient
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,-5809020290.132935
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,3353839428.2362504
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,-1.0,1.0,1.0,0.0,-0.0,1.0,1.0,-4743045205.43333
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,-0.0,-4743045205.43333
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,0.0,2904510145.0664687
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,-1.0,1.0,1.0,1.0,-1.0,2.0,0.0,1676919714.1181245
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,-1.0,1.0,1.0,1.0,0.0,1.0,1.0,2904510145.0664687
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,-1.0,1.0,1.0,1.0,0.0,2.0,1.0,2904510145.0664687
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,-1.0,1.0,1.0,1.0,1.0,2.0,2.0,4107597639.2032456
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,-1.0,1.0,1.0,2.0,-2.0,1.0,-1.0,4107597639.2032437
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,-1.0,1.0,1.0,2.0,-2.0,2.0,-1.0,-4107597639.203244
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,-1.0,1.0,1.0,2.0,-1.0,1.0,0.0,2904510145.0664673
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,-1.0,1.0,1.0,2.0,-1.0,2.0,0.0,-5030759142.354373
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,-1.0,1.0,1.0,2.0,0.0,1.0,1.0,1676919714.1181238
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,-1.0,1.0,1.0,2.0,0.0,2.0,1.0,-5030759142.354373
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,-1.0,1.0,1.0,2.0,1.0,2.0,2.0,-4107597639.203244
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-0.0,1.0,0.0,4743045205.43333
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-2904510145.0664687
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,-1.0,2.0,-1.0,-2904510145.0664687
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.0,-4743045205.43333
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,-0.0
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,-3353839428.236249
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2904510145.0664687
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,-2904510145.0664687
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,-2.0,2.0,-2.0,5809020290.132936
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,-1.0,1.0,-1.0,2904510145.0664673
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,-1.0,2.0,-1.0,2904510145.0664682
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,3353839428.2362475
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2904510145.0664673
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,-2904510145.0664682
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,-5809020290.132936
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,-0.0,1.0,-1.0,-4743045205.43333
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,-2.0,4107597639.2032456
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,-2904510145.0664687
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,-1.0,2904510145.0664687
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,-4743045205.43333
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-2904510145.0664687
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1676919714.1181245
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,-1.0,2.0,-2.0,4107597639.203244
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,-1.0,1676919714.1181238
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,-1.0,5030759142.354373
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2904510145.0664673
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,5030759142.354373
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4107597639.2032437
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,4107597639.203244
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,0.0,-0.0,1.0,1.0,0.0,-0.0,0.0,-0.0,8215195278.406491
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,0.0,-0.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-4107597639.2032456
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,0.0,-0.0,1.0,1.0,1.0,0.0,1.0,0.0,-4107597639.2032456
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,-4107597639.2032456
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,0.0,-0.0,1.0,1.0,2.0,-2.0,2.0,-2.0,-4107597639.2032447
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,0.0,-0.0,1.0,1.0,2.0,-1.0,2.0,-1.0,-4107597639.2032447
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,0.0,-0.0,1.0,1.0,2.0,0.0,2.0,0.0,-4107597639.2032447
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,0.0,-0.0,1.0,1.0,2.0,1.0,2.0,1.0,-4107597639.2032447
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,0.0,-0.0,1.0,1.0,2.0,2.0,2.0,2.0,-4107597639.2032447
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.0,-0.0,1.0,1.0,-4107597639.2032456
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,-0.0,4107597639.2032456
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,0.0,-0.0
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,2.0,0.0,2904510145.0664687
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.0,1.0,1.0,-0.0
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.0,2.0,1.0,5030759142.354374
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,2.0,2.0,7114567808.149996
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,1.0,2.0,-2.0,1.0,-1.0,-7114567808.149996
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,1.0,2.0,-2.0,2.0,-1.0,-3.3116545442486166e-07
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,1.0,2.0,-1.0,1.0,0.0,-5030759142.354374
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,1.0,2.0,-1.0,2.0,0.0,-4.055931918889144e-07
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,1.0,2.0,0.0,1.0,1.0,-2904510145.0664687
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,1.0,2.0,0.0,2.0,1.0,-4.055931918889144e-07
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,1.0,2.0,1.0,2.0,2.0,-3.3116545442486166e-07
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-0.0,1.0,0.0,4107597639.2032456
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,2.0,-1.0,-5030759142.354374
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.0,4107597639.2032456
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,-5809020290.132937
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,-5030759142.354374
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,-2.0,2.0,-2.0,4.6833867703708844e-07
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,-1.0,1.0,-1.0,-5030759142.354374
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,-1.0,2.0,-1.0,2.3416933851854427e-07
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,-5809020290.132937
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,-5030759142.354374
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,-2.3416933851854427e-07
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,-4.6833867703708844e-07
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,1.0,-1.0,-4107597639.2032456
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,-2.0,7114567808.149996
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,0.0
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,-1.0,5030759142.354374
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,4107597639.2032456
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2904510145.0664687
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-1.0,2.0,-2.0,3.3116545442486166e-07
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,-1.0,-2904510145.0664687
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,-1.0,4.055931918889144e-07
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,-5030759142.354374
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,4.055931918889144e-07
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,-7114567808.149996
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.3116545442486166e-07
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,2.0,-2.0,1.0,1.0,0.0,-0.0,2.0,2.0,-4107597639.2032456
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,2.0,-2.0,1.0,1.0,1.0,-1.0,1.0,1.0,-7114567808.149996
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,2.0,-2.0,1.0,1.0,1.0,-1.0,2.0,1.0,0.0
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,2.0,-2.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,2.0,-2.0,1.0,1.0,2.0,-2.0,0.0,-0.0,-4107597639.2032456
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,2.0,-2.0,1.0,1.0,2.0,-2.0,1.0,0.0,-4.6833867703708844e-07
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,2.0,-2.0,1.0,1.0,2.0,-2.0,2.0,0.0,5809020290.1329365
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,2.0,-2.0,1.0,1.0,2.0,-1.0,1.0,1.0,-3.3116545442486166e-07
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,2.0,-2.0,1.0,1.0,2.0,-1.0,2.0,1.0,7114567808.149995
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,2.0,-2.0,1.0,1.0,2.0,0.0,2.0,2.0,5809020290.1329365
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,2.0,-1.0,1.0,1.0,0.0,-0.0,2.0,1.0,4107597639.2032456
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,2.0,-1.0,1.0,1.0,1.0,-1.0,1.0,0.0,5030759142.354374
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,2.0,-1.0,1.0,1.0,1.0,-1.0,2.0,0.0,-0.0
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,2.0,-1.0,1.0,1.0,1.0,0.0,1.0,1.0,-5030759142.354374
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,2.0,-1.0,1.0,1.0,1.0,0.0,2.0,1.0,-0.0
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,2.0,-1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0
